Model_Name,Overall_WER,WER_thieu_dau,WER_sai_dau,WER_teencode_viết_tắt,WER_go_nham_hoac_vung_mien
Run_01_Edit_Distance,0.04842471714534378,0.05687058100215186,0.048867844351362835,,0.05099447997897135
Run_02_Ngram_Model,0.04034812880765883,0.04580387334767907,0.041097553572512595,,0.042232541838254624
Run_03_BiLSTM_Seq2Seq,0.03926892950391645,0.0467260989855518,0.03909427548109027,,0.044598265136248136
Run_04_ViT5_SOTA,0.016048738033072236,0.015063018751921304,0.014994232987312572,,0.021554367826163146
